wl,alpha,beta
270.0,0.492547,0.6071
273.0,0.514864,0.593646
276.0,0.535219,0.582615
279.0,0.553625,0.573443
282.0,0.570398,0.5655319999999999
285.0,0.585863,0.558527
288.0,0.600193,0.552384
291.0,0.6135689999999999,0.546829
294.0,0.626159,0.541748
297.0,0.638063,0.5372239999999999
300.0,0.649351,0.533247
303.0,0.660065,0.529829
306.0,0.670226,0.5270779999999999
309.0,0.679872,0.524944
312.0,0.689038,0.5233180000000001
315.0,0.697729,0.5223
318.0,0.705943,0.521984
321.0,0.713645,0.522578
324.0,0.720865,0.5239739999999999
327.0,0.727598,0.5261859999999999
330.0,0.733843,0.5291779999999999
333.0,0.739544,0.533087
336.0,0.744657,0.537899
339.0,0.749153,0.543546
342.0,0.752962,0.5501510000000001
345.0,0.756038,0.5576369999999999
348.0,0.7583260000000001,0.566083
351.0,0.759872,0.575095
354.0,0.760702,0.584531
357.0,0.7608779999999999,0.594097
360.0,0.760429,0.60378
363.0,0.759411,0.6134069999999999
366.0,0.757869,0.6228520000000001
369.0,0.755853,0.631997
372.0,0.753354,0.640836
375.0,0.750402,0.6492859999999999
378.0,0.7469939999999999,0.657353
381.0,0.743173,0.664904
384.0,0.73898,0.671862
387.0,0.734442,0.678198
390.0,0.729618,0.683855
393.0,0.7245020000000001,0.688875
396.0,0.719126,0.6932560000000001
399.0,0.713497,0.697022
402.0,0.707643,0.700183
405.0,0.701577,0.702764
408.0,0.69531,0.7047979999999999
411.0,0.688862,0.706311
414.0,0.682246,0.707337
417.0,0.6754479999999999,0.707917
420.0,0.6685220000000001,0.708082
423.0,0.6614869999999999,0.707874
426.0,0.654347,0.707338
429.0,0.6471399999999999,0.706515
432.0,0.639871,0.70545
435.0,0.632525,0.704177
438.0,0.625141,0.702737
441.0,0.6177,0.701156
444.0,0.6101989999999999,0.699447
447.0,0.602637,0.697638
450.0,0.59504,0.6957760000000001
453.0,0.587434,0.693892
456.0,0.579813,0.692005
459.0,0.5721689999999999,0.690135
462.0,0.5644819999999999,0.688285
465.0,0.5567840000000001,0.686488
468.0,0.549085,0.684759
471.0,0.541411,0.6831119999999999
474.0,0.533747,0.681554
477.0,0.526094,0.680096
480.0,0.518455,0.67874
483.0,0.510842,0.677501
486.0,0.503249,0.676385
489.0,0.495687,0.675392
492.0,0.48815,0.6745270000000001
495.0,0.48063599999999995,0.673794
498.0,0.47314799999999996,0.673196
501.0,0.465686,0.672733
504.0,0.45824499999999996,0.672409
507.0,0.45082799999999995,0.67223
510.0,0.443438,0.672201
513.0,0.43608900000000006,0.672305
516.0,0.428775,0.6725369999999999
519.0,0.421471,0.672912
522.0,0.414181,0.673441
525.0,0.406923,0.674126
528.0,0.399728,0.6749470000000001
531.0,0.39263200000000004,0.675821
534.0,0.38563400000000003,0.676756
537.0,0.37866700000000003,0.677728
540.0,0.37164400000000003,0.678793
543.0,0.364504,0.680055
546.0,0.357288,0.681539
549.0,0.350107,0.683257
552.0,0.343106,0.685128
555.0,0.336353,0.6870109999999999
558.0,0.329789,0.68881
561.0,0.32321700000000003,0.690526
564.0,0.316449,0.692279
567.0,0.309462,0.694213
570.0,0.30244899999999997,0.696415
573.0,0.295658,0.69876
576.0,0.289169,0.701017
579.0,0.282665,0.7030310000000001
582.0,0.275677,0.704963
585.0,0.267894,0.707274
588.0,0.259571,0.7104590000000001
591.0,0.25161500000000003,0.714644
594.0,0.24521199999999999,0.719357
597.0,0.24108000000000002,0.723631
600.0,0.23895999999999998,0.726464
603.0,0.23756799999999997,0.727354
606.0,0.235134,0.7265729999999999
609.0,0.230163,0.725009
612.0,0.22192399999999998,0.7237859999999999
615.0,0.210457,0.7239899999999999
618.0,0.196547,0.726504
621.0,0.181677,0.7318479999999999
624.0,0.16806400000000002,0.739963
627.0,0.158364,0.749947
630.0,0.154622,0.759886
633.0,0.157192,0.767323
636.0,0.163596,0.770426
639.0,0.169773,0.769192
642.0,0.172228,0.764889
645.0,0.16883900000000002,0.759625
648.0,0.159128,0.7555310000000001
651.0,0.144317,0.754434
654.0,0.127235,0.75748
657.0,0.111988,0.764523
660.0,0.10278499999999999,0.773668
663.0,0.101704,0.781604
666.0,0.106887,0.784977
669.0,0.112873,0.782131
672.0,0.112812,0.773926
675.0,0.10105599999999999,0.7632899999999999
678.0,0.074556,0.754494
681.0,0.033912,0.75259
684.0,-0.014943999999999999,0.762479
687.0,-0.059307000000000006,0.786836
690.0,-0.081971,0.8227620000000001
693.0,-0.07041599999999999,0.8604569999999999
696.0,-0.026868,0.887977
699.0,0.033089999999999994,0.898589
702.0,0.092298,0.892927
705.0,0.139965,0.8754860000000001
708.0,0.17191199999999998,0.850931
711.0,0.18732200000000002,0.8226620000000001
714.0,0.186898,0.792659
717.0,0.170846,0.7621600000000001
