shot,x,y
1,143.3197,21.385
2,143.3197,-10.75073
3,117.66536,21.385
4,117.66536,53.52073
5,117.66536,-10.75073
6,117.66536,-42.88646
7,117.66536,-75.02219
8,92.01102,21.385
9,92.01102,53.52073
10,92.01102,85.65646
11,92.01102,-10.75073
12,92.01102,-42.88646
13,92.01102,-75.02219
14,92.01102,-107.15792
15,66.35668,21.385
16,66.35668,53.52073
17,66.35668,85.65646
18,66.35668,117.79219
19,66.35668,-10.75073
20,66.35668,-42.88646
21,66.35668,-75.02219
22,66.35668,-107.15792
23,40.70234,21.385
24,40.70234,53.52073
25,40.70234,85.65646
26,40.70234,117.79219
27,40.70234,-10.75073
28,40.70234,-42.88646
29,40.70234,-75.02219
30,40.70234,-107.15792
31,15.048,21.385
32,15.048,53.52073
33,15.048,85.65646
34,15.048,117.79219
35,15.048,-10.75073
36,15.048,-42.88646
37,15.048,-75.02219
38,15.048,-107.15792
39,15.048,-139.29365
40,-10.60634,21.385
41,-10.60634,53.52073
42,-10.60634,85.65646
43,-10.60634,117.79219
44,-10.60634,-10.75073
45,-10.60634,-42.88646
46,-10.60634,-75.02219
47,-10.60634,-107.15792
48,-10.60634,-139.29365
49,-36.26068,21.385
50,-36.26068,53.52073
51,-36.26068,85.65646
52,-36.26068,117.79219
53,-36.26068,-10.75073
54,-36.26068,-42.88646
55,-36.26068,-75.02219
56,-36.26068,-107.15792
57,-61.91502,21.385
58,-61.91502,53.52073
59,-61.91502,85.65646
60,-61.91502,117.79219
61,-61.91502,-10.75073
62,-61.91502,-42.88646
63,-61.91502,-75.02219
64,-61.91502,-107.15792
65,-87.56936,21.385
66,-87.56936,53.52073
67,-87.56936,85.65646
68,-87.56936,-10.75073
69,-87.56936,-42.88646
70,-87.56936,-75.02219
71,-87.56936,-107.15792
72,-113.2237,21.385
73,-113.2237,53.52073
74,-113.2237,85.65646
75,-113.2237,-10.75073
76,-113.2237,-42.88646
77,-113.2237,-75.02219
78,-138.87804,21.385
79,-138.87804,-10.75073
80,-138.87804,-42.88646
