x,y,val
-59.246554,116.8791,34.11
-34.036008,116.8763,34.18
-8.825415,116.8733,34.46
16.385294,116.8705,34.69
41.595721,116.8676,34.78
66.80655,116.8646,35.17
-109.6715,84.61165,34.61
-84.460891,64.60867,34.21
-59.250306,84.60585,35.1
-34.039727,84.60284,26.2
-8.829121,84.60004,36.55
16.381482,84.59711,36.63
41.59205,84.59425,36.43
66.802682,84.59132,35.55
92.013363,84.58838,35.02
-109.67516,52.33827,34.26
-84.464615,52.33538,35.37
-59.253932,52.33247,36.37
-34.043397,52.32954,35.26
-8.832788,52.32671,34.4
16.377757,52.3238,34.4
41.588335,52.32082,35.71
66.798924,52.318,36.84
92.009608,52.31505,35.58
117.22014,52.31218,35.11
-134.88948,20.06778,34.78
-109.67893,20.06494,34.6
-84.46832,20.06205,36.37
-59.257753,20.05914,35.24
-34.047127,20.05617,33.24
-8.836487,20.05329,33.25
16.374047,20.05041,33.18
41.584696,20.04756,33.74
66.795222,20.04465,36.01
92.005875,20.0417,36.6
117.21643,20.03877,35.19
-134.89327,-12.2055,34.58
-109.68264,-12.2084,34.7
-84.472031,-12.2113,36.54
-59.261462,-12.2142,35.07
-34.050798,-12.2171,33.21
-8.840249,-12.22,33.29
16.37033,-12.2229,33.27
41.580933,-12.2258,33.64
66.791591,-12.2287,35.87
92.002193,-12.2316,36.73
117.2128,-12.2345,35.14
142.42338,-12.2374,36.23
-109.68626,-44.4817,34.39
-84.475678,-44.4846,35.88
-59.265078,-44.4876,36.2
-34.054532,-44.4905,34.4
-8.843992,-44.4933,33.51
16.366693,-44.4962,33.63
41.577314,-44.4992,34.79
66.787776,-44.502,36.57
91.998404,-44.5049,35.81
117.20901,-44.5079,34.83
-109.69007,-76.7552,34.31
-84.479436,-76.758,34.44
-59.268834,-76.7609,35.96
-34.058279,-76.7637,36.46
-8.847641,-76.7667,36.18
16.362959,-76.7696,36.3
41.57352,-76.7725,36.53
66.784189,-76.7754,35.72
91.994743,-76.7783,34.71
117.20536,-76.7812,35.19
-84.48315,-109.031,34.21
-59.272613,-109.034,34.04
-34.061934,-109.037,34.42
-8.851346,-109.04,34.83
16.359226,-109.043,34.83
41.569895,-109.046,34.51
66.780411,-109.049,34.31
91.991043,-109.052,34.94
-8.855077,-141.313,34.43
16.355596,-141.316,34.42
3.6166,141.2847,34.89
93.5777,112.8923,35.42
127.1917,64.4823,35.65
142.2746,-20.0813,36.26
127.1917,-64.4831,35.43
93.5777,-112.892,35.47
3.6166,-141.106,34.53
-70.1669,-129.029,33.96
-124.79,-64.4831,34.56
-143.444,12.1917,34.77
-124.79,64.4823,34
-70.1669,129.0293,34.59
